Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,avg_min
James Bailey,22,PF,SEA,67,0.0,726,6.0,13.4,0.45,0.0,0.0,0.0,6.0,13.4,0.45,3.4,5.0,0.6729999999999999,3.5,6.2,9.8,1.4,1.0,2.7,3.9,5.8,15.5,12.3,0.495,0.0,0.373,10.2,18.3,14.3,5.3,1.4,4.1,20.0,21.4,-0.4,1.4,1.0,0.063,-4.2,0.9,-3.3,-0.2,10.835820895522389
Billy Ray Bates,23,SG,POR,16,0.0,235,11.0,22.4,0.493,1.2,2.9,0.42100000000000004,9.8,19.5,0.504,4.3,6.0,0.718,2.0,2.5,4.4,4.7,2.1,0.3,3.1,4.0,27.6,24.1,0.552,0.13,0.267,6.0,7.6,6.8,23.8,2.9,0.5,10.9,32.0,0.7,0.3,0.9,0.188,3.7,0.6,4.3,0.5,14.6875
Larry Bird*,23,PF,BOS,82,82.0,2955,8.4,17.8,0.474,0.7,1.7,0.406,7.7,16.1,0.48100000000000004,3.7,4.4,0.836,2.6,7.7,10.4,4.5,1.7,0.6,3.2,3.4,21.3,20.5,0.5379999999999999,0.098,0.24600000000000002,8.3,23.6,16.0,18.5,2.3,1.0,14.0,25.3,5.6,5.6,11.2,0.182,3.0,1.5,4.5,4.8,36.03658536585366
Lawrence Boston,23,PF,WSB,13,0.0,125,6.9,15.0,0.462,0.0,0.0,0.0,6.9,15.0,0.462,2.3,3.7,0.615,5.5,5.8,11.2,0.6,1.2,0.6,2.3,7.2,16.1,12.6,0.485,0.0,0.25,15.1,16.2,15.7,2.3,1.5,0.8,12.2,20.7,0.1,0.1,0.2,0.075,-3.3,-0.7,-4.0,-0.1,9.615384615384615
Dudley Bradley,22,SG,IND,82,0.0,2027,4.9,10.8,0.452,0.0,0.1,0.4,4.8,10.7,0.452,2.4,3.1,0.782,1.2,2.7,4.0,4.5,3.7,0.9,2.9,3.4,12.2,13.5,0.502,0.008,0.28600000000000003,3.4,8.1,5.7,15.9,4.8,1.3,19.5,16.3,0.2,2.9,3.1,0.073,-2.0,3.0,1.0,1.5,24.71951219512195
Bill Cartwright,22,C,NYK,82,0.0,3150,7.6,13.9,0.547,0.0,0.0,0.0,7.6,13.9,0.547,5.2,6.5,0.797,2.2,6.1,8.3,1.9,0.5,1.2,2.5,3.2,20.4,17.9,0.608,0.0,0.466,6.6,18.6,12.6,7.0,0.7,1.7,13.2,20.6,7.7,2.1,9.7,0.14800000000000002,1.7,-1.2,0.6,2.1,38.41463414634146
Jeff Cook,23,PF,PHO,66,0.0,904,5.1,11.0,0.469,0.0,0.1,0.0,5.1,10.8,0.474,4.1,5.1,0.8059999999999999,3.6,6.0,9.6,3.3,1.1,0.7,2.8,4.1,14.4,14.4,0.546,0.011000000000000001,0.469,11.2,18.0,14.6,12.2,1.4,1.1,17.6,17.7,1.1,1.3,2.4,0.126,-0.3,0.1,-0.2,0.4,13.696969696969697
Hollis Copeland,24,SF,NYK,75,0.0,1142,5.7,11.6,0.495,0.0,0.1,0.0,5.7,11.5,0.49700000000000005,2.0,2.7,0.733,2.2,2.7,4.9,2.5,1.9,0.8,2.6,4.9,13.5,11.0,0.526,0.005,0.23399999999999999,6.6,8.3,7.4,8.7,2.4,1.2,17.1,16.5,0.5,0.8,1.2,0.052000000000000005,-1.7,0.0,-1.8,0.1,15.226666666666667
Pat Cummings,23,C,MIL,71,0.0,900,7.5,14.8,0.505,0.0,0.0,0.0,7.5,14.8,0.505,3.8,4.9,0.764,3.2,6.3,9.5,2.1,0.9,0.7,3.0,5.6,18.7,15.3,0.552,0.0,0.332,10.1,18.4,14.4,8.2,1.1,1.0,14.9,22.0,1.2,1.2,2.5,0.131,-1.0,-0.6,-1.6,0.1,12.67605633802817
Paul Dawkins,22,SF,UTA,57,0.0,776,6.5,13.9,0.47,0.0,0.2,0.2,6.5,13.7,0.475,1.5,2.2,0.688,1.9,3.9,5.8,3.6,1.5,0.4,3.5,5.2,14.7,11.0,0.49200000000000005,0.017,0.16,6.6,12.0,9.4,14.8,2.1,0.7,19.1,22.0,-0.5,0.4,-0.1,-0.009000000000000001,-2.9,-1.3,-4.2,-0.4,13.614035087719298
